T,c_m,c_m err
295.5,0.027808353,0.000286811
297.7,0.027808213,0.00028681
299.95,0.026696287,0.00026651
260.8,0.030283989,0.000335134
216.95,0.024664914,0.000231739
184.9,0.023788444,0.00021727
154.3,0.0237621,0.00021703
134.6,0.018448765,0.000139587
114.65,0.016170383,1.12E-04
22.16,1.168539903,0.009808884
24.895,1.483706267,0.015039728
27.25,1.745043537,0.020122497
29.19,1.975159168,0.025276913
32.625,2.977089056,0.017620046
36.875,4.162052589,0.031197041
40.15,4.921340737,0.041986215
42.975,5.578579539,0.052465299
45.55,6.167799779,0.062816291
47.975,6.049548545,0.06059211
50.1,8.24470723,0.106684437
54.65,0.009039499,4.37E-05
61.35,0.010817761,5.79E-05
67.1,0.012220616,7.04E-05
72.325,0.013091343,7.86E-05
77.3,0.014073905,8.86E-05
81.7,0.01612337,1.11E-04
85.85,0.016555115,1.16E-04
89.775,0.017220404,1.24E-04
93.55,0.017887902,0.000132702
97.225,0.018154247,0.000135999
100.85,0.01895422,0.000146372
5.855,0.318618042,0.003454894
6.505,0.245297505,0.001535509
7,0.201535509,0.001535509
7.438,0.170441459,0.001151631
8.06,0.134740883,0.000767754
8.373,0.120537428,0.001151631
8.74,0.472168906,0.02303263
9.691,0.153934741,0.001535509
10.442,0.145489443,0.001919386
10.968,0.129904031,0.001919386
11.302,0.123992322,0.001919386
11.646,0.112092131,0.003838772
12.068,0.120921305,0.001919386
12.406,0.117466411,0.00268714
12.71,0.109788868,0.00268714
13.04,0.112092131,0.003838772
13.41,0.345105566,0.015355086
14.02,0.299309021,0.003838772
14.6,0.25950096,0.007677543
15.1,0.217658349,0.02303263
15.7,0.216122841,0.003838772
16.2,0.2021881,0.011516315
16.62,0.192514395,0.003838772
17.03,0.185412668,0.003454894
17.4,0.174241843,0.003838772
17.76,0.629942418,0.003838772
18.66,0.550019194,0.003838772
19.4578,0.48318618,0.003838772
20.144,0.429481766,0.003838772
