T,c_m,c_m err
294.95,5.5072853,0.430348107
296.2,5.969837081,0.504684643
297.4,5.969807093,0.504682117
265.1,5.949218713,0.502941432
221.45,5.46908001,0.427362586
185.95,4.163398038,0.250190784
151.75,4.128967623,0.24812193
131.7,3.169833773,0.148308577
110.35,2.763792417,0.114341189
23.82,0.107008347,0.002682632
27.155,0.139810508,0.004520257
29.7,0.182389162,0.007630425
31.7,0.223500608,0.011376526
33.275,0.277449031,0.017458029
36.2,0.370877232,0.007960668
39.975,0.518720122,0.015337201
42.9,0.605948346,0.020798773
45.425,0.698873832,0.027462894
47.675,0.764858453,0.032781294
49.725,0.843305474,0.039759341
53.8,1.050895371,0.01836458
59.875,1.261062206,0.025744881
64.925,1.423911713,0.032326656
69.375,1.760048411,0.048422959
73.3,1.886939685,0.055258363
76.925,1.972683999,0.060114495
80.35,2.200846952,0.074172397
83.3,2.436578555,0.090445508
86.175,2.401183625,0.087642385
88.95,2.539251775,0.097583064
91.6,2.640178699,0.105188852
94.15,2.98813394,0.133927702
96.725,2.808650243,0.118460857
99.075,3.062063902,0.140179983
4.723,0.00224403,4.06E-05
5.6,0.00284926,5.15E-05
6.05,0.00333336,6.03E-05
6.56,0.00377293,6.83E-05
7.06,0.00138211,2.49E-05
7.57,0.00208088,3.77E-05
8.08,0.00246238,4.46E-05
8.63,0.0027876,5.06E-05
9.18,0.00307797,5.58E-05
9.52,0.00301516,5.47E-05
10.01,0.00410396,7.45E-05
10.48,0.00101194,1.83E-05
11.01,0.00492175,4.46E-05
11.64,0.00554099,5.00E-05
12.53,0.03719349,2.88E-05
12.99,0.03996321,3.15E-05
13.55,0.04581149,3.78E-05
14.01,0.04695678,3.91E-05
14.64,0.04878626,4.12E-05
15.02,0.05076408,4.35E-05
15.42,0.05145948,4.43E-05
15.93,0.05366489,4.70E-05
16.33,0.04581149,3.78E-05
16.68,0.227509146,4.74E-04
17.21,0.289082581,5.80E-03
17.72,0.288905939,2.14E-04
18.22,0.299822376,2.30E-04
18.65,0.367963825,3.43E-04
19.4,0.337056591,2.89E-04
19.72,0.337507877,2.89E-04
20.04,0.148102966,2.67E-04
