Sample : Ni
Pre-Pulse  Slope = 6.524896E-3 +/- 4.518110E-4 Intercept = 4.724213E+0 +/- 1.099336E-3 Residue = 1.595354E-8
Heat Pulse  Slope = 9.830042E-3 +/- 6.486885E-4 Intercept = 4.702760E+0 +/- 4.895692E-3 Residue = 1.983012E-8
Post-Pulse  Slope = 6.003062E-3 +/- 3.668466E-4 Intercept = 4.743320E+0 +/- 4.602201E-3 Residue = 6.346510E-9
Sample Voltage = 7.000000E-2 Sample Voltage Uncertainty = 1.000000E-2
Sample Current = 9.977000E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
0.000000	4.723151	0.010000
0.111006	4.726063	0.010000
0.213012	4.724041	0.010000
0.316018	4.727662	0.010000
0.419024	4.724898	0.010000
0.521029	4.728233	0.010000
0.624035	4.726946	0.010000
0.727041	4.728087	0.010000
0.830047	4.728397	0.010000
0.933053	4.730135	0.010000
1.035059	4.731178	0.010000
1.138065	4.731693	0.010000
1.241071	4.732418	0.010000
1.343077	4.733001	0.010000
1.446083	4.733385	0.010000
1.548089	4.734654	0.010000
1.651094	4.737607	0.010000
1.754100	4.739534	0.010000
1.856106	4.736567	0.010000
1.959112	4.736722	0.010000
2.061118	4.738103	0.010000
2.164124	4.738862	0.010000
2.266129	4.736692	0.010000
2.369135	4.738179	0.010000
2.472141	4.739220	0.010000
2.574147	4.742457	0.010000
2.676153	4.742226	0.010000
2.779159	4.743269	0.010000
2.882164	4.743038	0.010000
2.985170	4.742043	0.010000
3.088176	4.743839	0.010000
3.190182	4.744032	0.010000
3.293188	4.745077	0.010000
3.396194	4.745857	0.010000
3.498200	4.746682	0.010000
3.600206	4.746763	0.010000
3.702211	4.747166	0.010000
3.804217	4.750555	0.010000
3.907223	4.752062	0.010000
4.010229	4.749067	0.010000
4.113235	4.750158	0.010000
4.215241	4.750606	0.010000
4.318247	4.750235	0.010000
4.420253	4.751700	0.010000
4.522258	4.752004	0.010000
4.624264	4.752226	0.010000
4.726270	4.753965	0.010000
4.828276	4.754785	0.010000
4.931282	4.753380	0.010000
5.033288	4.755066	0.010000
5.137294	4.754945	0.010000
5.239299	4.754960	0.010000
5.341305	4.756364	0.010000
5.444311	4.756273	0.010000
5.547317	4.756447	0.010000
5.650323	4.757450	0.010000
5.753329	4.760471	0.010000
5.856335	4.759083	0.010000
5.959341	4.765216	0.010000
6.062346	4.764382	0.010000
6.165352	4.763667	0.010000
6.268358	4.762649	0.010000
6.371364	4.764602	0.010000
6.473370	4.766540	0.010000
6.576376	4.767425	0.010000
6.679382	4.768436	0.010000
6.781388	4.768245	0.010000
6.884394	4.771654	0.010000
6.986399	4.770709	0.010000
7.088405	4.771971	0.010000
7.190411	4.772973	0.010000
7.293417	4.773700	0.010000
7.396423	4.775453	0.010000
7.498429	4.776135	0.010000
7.600435	4.776325	0.010000
7.702440	4.778550	0.010000
7.805446	4.779683	0.010000
7.908452	4.781058	0.010000
8.011458	4.780936	0.010000
8.114464	4.785313	0.010000
8.216470	4.788754	0.010000
8.318476	4.785551	0.010000
8.420482	4.785105	0.010000
8.522487	4.785922	0.010000
8.624493	4.786433	0.010000
8.726499	4.788310	0.010000
8.829505	4.787486	0.010000
8.931510	4.789605	0.010000
9.033516	4.792312	0.010000
9.136522	4.791955	0.010000
9.238528	4.794783	0.010000
9.341534	4.793059	0.010000
9.443540	4.794873	0.010000
9.545546	4.796447	0.010000
9.647552	4.795917	0.010000
9.749557	4.796815	0.010000
9.851563	4.799058	0.010000
9.953569	4.800493	0.010000
10.055575	4.801310	0.010000
10.157581	4.803360	0.010000
10.260587	4.805589	0.010000
10.363593	4.809784	0.010000
10.466599	4.804771	0.010000
10.569604	4.806369	0.010000
10.672610	4.807445	0.010000
10.774616	4.807338	0.010000
10.876622	4.808373	0.010000
10.979628	4.809750	0.010000
11.081634	4.810582	0.010000
11.183640	4.809973	0.010000
11.286645	4.811210	0.010000
11.389651	4.811902	0.010000
11.491657	4.811690	0.010000
11.593663	4.813174	0.010000
11.695669	4.813213	0.010000
11.797675	4.815028	0.010000
11.899681	4.816464	0.010000
12.002687	4.814896	0.010000
12.105692	4.816277	0.010000
12.208698	4.815908	0.010000
12.310704	4.816608	0.010000
12.412710	4.816441	0.010000
12.515716	4.817952	0.010000
12.617722	4.819230	0.010000
12.720727	4.818450	0.010000
12.823733	4.821639	0.010000
12.926739	4.820869	0.010000
13.028745	4.821934	0.010000
13.130751	4.820765	0.010000
13.233757	4.823085	0.010000
13.335763	4.823312	0.010000
13.438768	4.824792	0.010000
13.541774	4.823666	0.010000
13.643780	4.826361	0.010000
13.745786	4.825647	0.010000
13.847792	4.827580	0.010000
13.950798	4.826528	0.010000
14.053803	4.827375	0.010000
14.156810	4.827636	0.010000
14.259815	4.829774	0.010000
14.361821	4.827846	0.010000
14.463827	4.830513	0.010000
14.565833	4.830300	0.010000
14.667839	4.832636	0.010000
14.769845	4.831427	0.010000
14.872850	4.834348	0.010000
14.974856	4.833954	0.010000
15.076862	4.833764	0.010000
Sample : Ni
Pre-Pulse  Slope = 8.687283E-3 +/- 7.302200E-4 Intercept = 5.593278E+0 +/- 1.776016E-3 Residue = 4.161494E-8
Heat Pulse  Slope = 1.019415E-2 +/- 5.873268E-4 Intercept = 5.581538E+0 +/- 4.429584E-3 Residue = 1.621658E-8
Post-Pulse  Slope = 7.075730E-3 +/- 6.725581E-4 Intercept = 5.615891E+0 +/- 8.432106E-3 Residue = 2.121642E-8
Sample Voltage = 7.000000E-2 Sample Voltage Uncertainty = 1.000000E-2
Sample Current = 9.977000E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
0.000000	5.590974	0.010000
0.113007	5.592882	0.010000
0.215013	5.596310	0.010000
0.318018	5.594663	0.010000
0.421024	5.596134	0.010000
0.523030	5.598943	0.010000
0.626036	5.597373	0.010000
0.728042	5.598635	0.010000
0.831048	5.600248	0.010000
0.934053	5.602014	0.010000
1.036059	5.604527	0.010000
1.139065	5.600803	0.010000
1.241071	5.601252	0.010000
1.343077	5.605914	0.010000
1.445083	5.603864	0.010000
1.547089	5.604964	0.010000
1.650095	5.609745	0.010000
1.752100	5.612152	0.010000
1.854106	5.608851	0.010000
1.956112	5.607151	0.010000
2.059118	5.613365	0.010000
2.162124	5.609637	0.010000
2.265130	5.609617	0.010000
2.368135	5.616809	0.010000
2.470141	5.617705	0.010000
2.572147	5.615853	0.010000
2.675153	5.619921	0.010000
2.778159	5.620388	0.010000
2.880165	5.619863	0.010000
2.983171	5.620354	0.010000
3.085177	5.621474	0.010000
3.188182	5.621043	0.010000
3.291188	5.619722	0.010000
3.394194	5.620872	0.010000
3.497200	5.620860	0.010000
3.600206	5.624189	0.010000
3.702212	5.624783	0.010000
3.804218	5.625916	0.010000
3.907224	5.626688	0.010000
4.010230	5.626987	0.010000
4.113235	5.628860	0.010000
4.215241	5.628740	0.010000
4.317247	5.626398	0.010000
4.419253	5.629689	0.010000
4.521259	5.630081	0.010000
4.624265	5.629967	0.010000
4.726271	5.631748	0.010000
4.828277	5.629947	0.010000
4.931282	5.632809	0.010000
5.034288	5.633382	0.010000
5.136294	5.633815	0.010000
5.239300	5.634431	0.010000
5.342306	5.636911	0.010000
5.444312	5.634526	0.010000
5.546318	5.638617	0.010000
5.648324	5.637531	0.010000
5.751329	5.637815	0.010000
5.854335	5.641701	0.010000
5.957341	5.640632	0.010000
6.060347	5.644475	0.010000
6.163353	5.642009	0.010000
6.265358	5.643146	0.010000
6.367364	5.647719	0.010000
6.469370	5.647650	0.010000
6.571376	5.648964	0.010000
6.673382	5.651607	0.010000
6.776388	5.651267	0.010000
6.879394	5.651111	0.010000
6.981400	5.652113	0.010000
7.083405	5.654042	0.010000
7.186411	5.653843	0.010000
7.289417	5.657952	0.010000
7.391423	5.657231	0.010000
7.493429	5.657574	0.010000
7.596435	5.659671	0.010000
7.698441	5.660712	0.010000
7.800447	5.662522	0.010000
7.902452	5.660133	0.010000
8.005458	5.660889	0.010000
8.107464	5.661623	0.010000
8.210470	5.666525	0.010000
8.312476	5.666489	0.010000
8.414482	5.667808	0.010000
8.516487	5.667989	0.010000
8.618493	5.669259	0.010000
8.720499	5.671376	0.010000
8.822505	5.670973	0.010000
8.924510	5.673139	0.010000
9.026516	5.673800	0.010000
9.128522	5.674212	0.010000
9.230528	5.674954	0.010000
9.332534	5.678032	0.010000
9.435540	5.680582	0.010000
9.538546	5.681966	0.010000
9.640552	5.682125	0.010000
9.742558	5.679109	0.010000
9.845563	5.681611	0.010000
9.947569	5.684457	0.010000
10.050575	5.682103	0.010000
10.153581	5.688484	0.010000
10.256587	5.684844	0.010000
10.358593	5.689638	0.010000
10.460598	5.690930	0.010000
10.563604	5.689574	0.010000
10.665610	5.693454	0.010000
10.767616	5.693001	0.010000
10.869622	5.694446	0.010000
10.972628	5.691228	0.010000
11.075634	5.695406	0.010000
11.178639	5.692466	0.010000
11.281645	5.693877	0.010000
11.384652	5.695734	0.010000
11.486657	5.695338	0.010000
11.588663	5.699480	0.010000
11.691669	5.700345	0.010000
11.793675	5.700004	0.010000
11.895680	5.698996	0.010000
11.997686	5.699109	0.010000
12.099692	5.704162	0.010000
12.201698	5.704953	0.010000
12.303704	5.700845	0.010000
12.405710	5.705132	0.010000
12.507716	5.705568	0.010000
12.609722	5.706724	0.010000
12.711727	5.705558	0.010000
12.813733	5.706224	0.010000
12.916739	5.707749	0.010000
13.018745	5.708649	0.010000
13.120751	5.708329	0.010000
13.222756	5.710386	0.010000
13.324762	5.710506	0.010000
13.426768	5.709071	0.010000
13.529774	5.710773	0.010000
13.632780	5.711744	0.010000
13.735786	5.711687	0.010000
13.838792	5.712683	0.010000
13.940798	5.715980	0.010000
14.043804	5.713904	0.010000
14.145809	5.715981	0.010000
14.248815	5.716275	0.010000
14.351821	5.716424	0.010000
14.453827	5.718321	0.010000
14.555833	5.720646	0.010000
14.657839	5.720833	0.010000
14.759844	5.720414	0.010000
14.862850	5.721053	0.010000
14.965856	5.724570	0.010000
15.068862	5.722103	0.010000
Sample : Ni
Pre-Pulse  Slope = 1.036733E-2 +/- 1.077870E-3 Intercept = 6.052011E+0 +/- 2.620191E-3 Residue = 9.050503E-8
Heat Pulse  Slope = 9.084015E-3 +/- 4.664537E-3 Intercept = 6.057477E+0 +/- 3.518350E-2 Residue = 1.027930E-6
Post-Pulse  Slope = 8.096080E-3 +/- 1.232006E-3 Intercept = 6.073819E+0 +/- 1.544487E-2 Residue = 7.118894E-8
Sample Voltage = 7.000000E-2 Sample Voltage Uncertainty = 1.000000E-2
Sample Current = 9.976900E-1 Sample Current Uncertainty = 1.000000E-4
t(s)	T(K)	dT(K)
0.000000	6.052154	0.010000
0.112006	6.052727	0.010000
0.214012	6.054238	0.010000
0.317018	6.056088	0.010000
0.420024	6.059166	0.010000
0.522030	6.059869	0.010000
0.625036	6.058910	0.010000
0.728042	6.060849	0.010000
0.831048	6.061481	0.010000
0.933053	6.063629	0.010000
1.036059	6.064371	0.010000
1.138065	6.065824	0.010000
1.240071	6.063540	0.010000
1.343077	6.064548	0.010000
1.445083	6.065795	0.010000
1.547089	6.069682	0.010000
1.650095	6.066828	0.010000
1.752100	6.065949	0.010000
1.855106	6.068381	0.010000
1.958112	6.072045	0.010000
2.061118	6.073480	0.010000
2.163124	6.074906	0.010000
2.265130	6.075043	0.010000
2.367136	6.076525	0.010000
2.469141	6.077181	0.010000
2.571147	6.079631	0.010000
2.674153	6.076076	0.010000
2.777159	6.076360	0.010000
2.879165	6.082505	0.010000
2.981171	6.085359	0.010000
3.083176	6.085456	0.010000
3.185182	6.087657	0.010000
3.288188	6.087527	0.010000
3.391194	6.080474	0.010000
3.493200	6.092421	0.010000
3.596206	6.081024	0.010000
3.699212	6.091428	0.010000
3.802217	6.093492	0.010000
3.905223	6.100320	0.010000
4.008229	6.097473	0.010000
4.111235	6.086671	0.010000
4.214241	6.088278	0.010000
