Sample : Ni
Pre-Pulse  Slope = 8.407258E-3 +/- 2.093157E-4 Intercept = 5.853712E+0 +/- 5.079229E-4 Residue = 3.413946E-9
Heat Pulse  Slope = 8.303624E-2 +/- 8.990373E-4 Intercept = 5.438751E+0 +/- 6.775275E-3 Residue = 3.804583E-8
Post-Pulse  Slope = 5.835659E-3 +/- 1.530698E-3 Intercept = 6.248523E+0 +/- 1.918430E-2 Residue = 1.102090E-7
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020110E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
0.000000	5.855078	0.010000
0.111006	5.854703	0.010000
0.213012	5.856063	0.010000
0.315018	5.857388	0.010000
0.418024	5.858132	0.010000
0.520030	5.858197	0.010000
0.622036	5.858105	0.010000
0.724041	5.859586	0.010000
0.826047	5.860604	0.010000
0.928053	5.862541	0.010000
1.030059	5.863425	0.010000
1.133065	5.864005	0.010000
1.235071	5.864788	0.010000
1.337077	5.864746	0.010000
1.440083	5.866587	0.010000
1.542088	5.866018	0.010000
1.644094	5.866536	0.010000
1.746100	5.867622	0.010000
1.849106	5.868963	0.010000
1.952112	5.869852	0.010000
2.055118	5.870629	0.010000
2.157124	5.871582	0.010000
2.259129	5.871952	0.010000
2.362135	5.873524	0.010000
2.464141	5.874315	0.010000
2.566147	5.874807	0.010000
2.669153	5.875708	0.010000
2.772159	5.877549	0.010000
2.874165	5.878276	0.010000
2.977170	5.878890	0.010000
3.079176	5.880254	0.010000
3.182182	5.881413	0.010000
3.285188	5.881178	0.010000
3.388194	5.881752	0.010000
3.490200	5.883051	0.010000
3.592206	5.884738	0.010000
3.694211	5.884051	0.010000
3.797217	5.886149	0.010000
3.899223	5.886152	0.010000
4.001229	5.886364	0.010000
4.103235	5.888428	0.010000
4.206241	5.888077	0.010000
4.308247	5.890409	0.010000
4.411252	5.889999	0.010000
4.514258	5.891672	0.010000
4.617264	5.893129	0.010000
4.719270	5.893174	0.010000
4.822276	5.893957	0.010000
4.925282	5.895167	0.010000
5.028287	5.896205	0.010000
5.131294	5.896948	0.010000
5.233299	5.898938	0.010000
5.335305	5.897215	0.010000
5.437311	5.898617	0.010000
5.540317	5.901973	0.010000
5.642323	5.904625	0.010000
5.745328	5.914554	0.010000
5.848334	5.920895	0.010000
5.950340	5.929391	0.010000
6.053346	5.940139	0.010000
6.155352	5.948711	0.010000
6.258358	5.956944	0.010000
6.360364	5.963307	0.010000
6.463370	5.974983	0.010000
6.565375	5.981731	0.010000
6.667381	5.994561	0.010000
6.770387	6.001578	0.010000
6.873393	6.008425	0.010000
6.975399	6.021003	0.010000
7.078405	6.028119	0.010000
7.180411	6.037326	0.010000
7.282417	6.042956	0.010000
7.384422	6.053001	0.010000
7.487428	6.061136	0.010000
7.590434	6.072427	0.010000
7.693440	6.079119	0.010000
7.795446	6.085312	0.010000
7.897452	6.096481	0.010000
8.000458	6.102359	0.010000
8.102464	6.114648	0.010000
8.204469	6.118229	0.010000
8.306475	6.125983	0.010000
8.408481	6.138654	0.010000
8.510487	6.146155	0.010000
8.613493	6.155072	0.010000
8.715498	6.160107	0.010000
8.817504	6.168791	0.010000
8.919510	6.176313	0.010000
9.021516	6.181558	0.010000
9.124522	6.194943	0.010000
9.226528	6.199107	0.010000
9.328534	6.213366	0.010000
9.430540	6.224151	0.010000
9.532546	6.229722	0.010000
9.635551	6.238470	0.010000
9.738557	6.250085	0.010000
9.841563	6.251915	0.010000
9.943569	6.261556	0.010000
10.046575	6.269244	0.010000
10.148581	6.279755	0.010000
10.251586	6.286508	0.010000
10.354592	6.287071	0.010000
10.457598	6.297779	0.010000
