t(s),T(K),dT(K)
0,4.723151,0.01
0.111006,4.726063,0.01
0.213012,4.724041,0.01
0.316018,4.727662,0.01
0.419024,4.724898,0.01
0.521029,4.728233,0.01
0.624035,4.726946,0.01
0.727041,4.728087,0.01
0.830047,4.728397,0.01
0.933053,4.730135,0.01
1.035059,4.731178,0.01
1.138065,4.731693,0.01
1.241071,4.732418,0.01
1.343077,4.733001,0.01
1.446083,4.733385,0.01
1.548089,4.734654,0.01
1.651094,4.737607,0.01
1.7541,4.739534,0.01
1.856106,4.736567,0.01
1.959112,4.736722,0.01
2.061118,4.738103,0.01
2.164124,4.738862,0.01
2.266129,4.736692,0.01
2.369135,4.738179,0.01
2.472141,4.73922,0.01
2.574147,4.742457,0.01
2.676153,4.742226,0.01
2.779159,4.743269,0.01
2.882164,4.743038,0.01
2.98517,4.742043,0.01
3.088176,4.743839,0.01
3.190182,4.744032,0.01
3.293188,4.745077,0.01
3.396194,4.745857,0.01
3.4982,4.746682,0.01
3.600206,4.746763,0.01
3.702211,4.747166,0.01
3.804217,4.750555,0.01
3.907223,4.752062,0.01
4.010229,4.749067,0.01
4.113235,4.750158,0.01
4.215241,4.750606,0.01
4.318247,4.750235,0.01
4.420253,4.7517,0.01
4.522258,4.752004,0.01
4.624264,4.752226,0.01
4.72627,4.753965,0.01
4.828276,4.754785,0.01
4.931282,4.75338,0.01
5.033288,4.755066,0.01
5.137294,4.754945,0.01
5.239299,4.75496,0.01
5.341305,4.756364,0.01
5.444311,4.756273,0.01
5.547317,4.756447,0.01
5.650323,4.75745,0.01
5.753329,4.760471,0.01
5.856335,4.759083,0.01
5.959341,4.765216,0.01
6.062346,4.764382,0.01
6.165352,4.763667,0.01
6.268358,4.762649,0.01
6.371364,4.764602,0.01
6.47337,4.76654,0.01
6.576376,4.767425,0.01
6.679382,4.768436,0.01
6.781388,4.768245,0.01
6.884394,4.771654,0.01
6.986399,4.770709,0.01
7.088405,4.771971,0.01
7.190411,4.772973,0.01
7.293417,4.7737,0.01
7.396423,4.775453,0.01
7.498429,4.776135,0.01
7.600435,4.776325,0.01
7.70244,4.77855,0.01
7.805446,4.779683,0.01
7.908452,4.781058,0.01
8.011458,4.780936,0.01
8.114464,4.785313,0.01
8.21647,4.788754,0.01
8.318476,4.785551,0.01
8.420482,4.785105,0.01
8.522487,4.785922,0.01
8.624493,4.786433,0.01
8.726499,4.78831,0.01
8.829505,4.787486,0.01
8.93151,4.789605,0.01
9.033516,4.792312,0.01
9.136522,4.791955,0.01
9.238528,4.794783,0.01
9.341534,4.793059,0.01
9.44354,4.794873,0.01
9.545546,4.796447,0.01
9.647552,4.795917,0.01
9.749557,4.796815,0.01
9.851563,4.799058,0.01
9.953569,4.800493,0.01
10.055575,4.80131,0.01
10.157581,4.80336,0.01
10.260587,4.805589,0.01
10.363593,4.809784,0.01
10.466599,4.804771,0.01
10.569604,4.806369,0.01
10.67261,4.807445,0.01
10.774616,4.807338,0.01
10.876622,4.808373,0.01
10.979628,4.80975,0.01
11.081634,4.810582,0.01
11.18364,4.809973,0.01
11.286645,4.81121,0.01
11.389651,4.811902,0.01
11.491657,4.81169,0.01
11.593663,4.813174,0.01
11.695669,4.813213,0.01
11.797675,4.815028,0.01
11.899681,4.816464,0.01
12.002687,4.814896,0.01
12.105692,4.816277,0.01
12.208698,4.815908,0.01
12.310704,4.816608,0.01
12.41271,4.816441,0.01
12.515716,4.817952,0.01
12.617722,4.81923,0.01
12.720727,4.81845,0.01
12.823733,4.821639,0.01
12.926739,4.820869,0.01
13.028745,4.821934,0.01
13.130751,4.820765,0.01
13.233757,4.823085,0.01
13.335763,4.823312,0.01
13.438768,4.824792,0.01
13.541774,4.823666,0.01
13.64378,4.826361,0.01
13.745786,4.825647,0.01
13.847792,4.82758,0.01
13.950798,4.826528,0.01
14.053803,4.827375,0.01
14.15681,4.827636,0.01
14.259815,4.829774,0.01
14.361821,4.827846,0.01
14.463827,4.830513,0.01
14.565833,4.8303,0.01
14.667839,4.832636,0.01
14.769845,4.831427,0.01
14.87285,4.834348,0.01
14.974856,4.833954,0.01
15.076862,4.833764,0.01
